gengxin,id,title,zuozhe
01-09,002297,博云新材：拟发行股份收购湘秋投资旗下高端刀具设计制造资产,"
公告点评
"
11-15,002297,博云新材：停牌拟购买工模具行业资产并募集配套资金,"
xz900879
"
11-08,002297,博云新材：拟挂牌出售控股子公司博云汽车83%股权,"
公告点评
"
11-07,002297,博云新材：拟挂牌出售博云汽车82.59%股权,"
xz900879
"
10-19,002297,博云新材：全资子公司收到政府补助500万元,"
公告点评
"
09-11,002297,博云新材：控股股东内斗升级 粉冶中心被诉要求解散,"
xz900879
"
08-02,002297,博云新材：拟向高创投收购伟徽新材5%股权,"
公告点评
"
06-26,002297,不守职业道德和规矩的公司。应该对董事长严,"
陕西股友
"
06-26,002297,这个公司出尔反尔，是个不守职业道德和规矩,"
陕西股友
"
05-03,002297,扫货白酒股!,"
火星股友
"
04-08,002297,反弹中重点关注个股（附股）。,"
江苏股友
"
03-28,002297,房地产政策挤压社会资金流入股市,"
北京股友
"
03-24,002297,港媒:银联正式暂停内地客透过银联卡刷卡买港楼,"
北京股友
"
03-13,002297,博云新材：合资公司可满足C919国产大飞机的订单需求,"
xz900879
"
03-10,002297,坚决支持证监会严查恶意做空行为!,"
北京股友
"
02-28,002297,博云新材(002297)2016年度业绩快报,"
公告点评
"
12-20,002297,博云新材(002297)拟6亿元收购汽车零部件公司,"
公告点评
"
11-15,002297,博云新材(002297)使用部分闲置募集资金购买理财产品,"
公告点评
"
11-08,002297,博云新材(002297)使用部分闲置募集资金购买理财产品,"
公告点评
"
07-13,002297,■■■ 精选 一只主力爆发黑马。,"
江苏股友
"
06-11,002297,你就抱抱吧。日日夜夜方方面面......好钢使在刀刃上呢。,"
抢购潮
"
03-30,002297,博云新材(002297)预计第一季度业绩亏损1100万元-1400万元,"
公告点评
"
02-03,002297,"无锡国资委提速国企改革,5大举措推进国企发展混合所有制","
福建股友
"
02-01,002297,博云新材(002297)预计2015年净利润亏损1.25亿元-1.65亿元,"
公告点评
"
12-24,002297,博云新材(002297)非公开发行股票申请获证监会发审会审核通过,"
公告点评
"
11-16,002297,上海股交中心总经理:科创板年内推出 上市制度引入注册制,"
北京股友
"
11-15,002297,博云新材(002297)控股子公司拟投资3000万元参与设立产业并购基金,"
公告点评
"
11-13,002297,中期上升行情仍将延续,"
酒神一诺
"
09-16,002297,证券保证金连续两周净流出(评),"
北京股友
"
08-24,002297,博云新材(002297)拟出资3000万元参与投资设立产业并购基金,"
公告点评
"
07-06,002297,"002297分析
","
cdzbmy
"
05-03,002297,"博云新材:中小板的惊天牛股,狂买!
","
中长线走熊
"
04-29,002297,博云新材(002297)通过高新技术企业的重新认定,"
公告点评
"
04-29,002297,"生益科技已经被纳入石墨烯概念
","
ID永远毅力
"
02-27,002297,002297才是好股，军工航天，有戏！,"
浙江股友
"
01-06,002297,博云新材(002297)获得政府产业发展专项资金约1918万元。,"
公告点评
"
12-30,002297,博云新材(002297)遭第二大股东减持200万股,"
公告点评
"
12-28,002297,不得不说，博云新材的主力是个阳痿低能儿,"
辽宁股友
"
12-08,002297,"湖南博云江苏玖博正式签订战略合作协议
","
前线的军长
"
12-06,002297,"博云新材:牛市威猛,解禁就是噱头,加速满仓!
","
五帝座一
"
11-27,002297,"博云..
","
rainicexx
"
11-17,002297,"博云发威一口气冲到二十五的可能性有多大?
","
股票老怪
"
11-15,002297,"博云新材30日大非解禁占总股本26.04%
","
黑泽明明
"
11-13,002297,多头部队正在乘胜追击前进,"
yc价值投资者
"
11-13,002297,"积极跟进--""双十一""龙头股","
酒神一诺
"
11-06,002297,◆◆高品质路线奠定风神股份（600469）稳固的龙头地位,"
倒挂必黑马
"
11-04,002297,"如果公司改名通用新材或者航空特材!公司股价將一飞冲天!小小建议
","
大头国
"
10-27,002297,"新能源飞机概念龙头股博云新材
","
等着数钱
"
10-27,002297,"会不会打破规律:要么涨停要么小
","
国际商品
"
10-27,002297,"博云新材:控股权之争,将是未来最大的看点!
","
我演丁力
"
10-26,002297,"想赢就买:坚决满仓杀进,富贵险中求!
","
中线重点关注
"
10-25,002297,"太好了,电视台推荐明天涨停!!!新材料龙头
","
夺命七步颠
"
10-25,002297,"求补缺口
","
春暖花开no
"
10-24,002297,"简单分析一下002297。。。
","
黑五类家庭
"
10-24,002297,"翻一遍中小板股票,有几个象云没有大涨过的股票,散户拿着安心放着吧,2-3倍没问题
","
至少有压力
"
10-24,002297,"博云新材:洗盘结束,扬威军工,特大牛股点火升空!
","
月夜空性
"
10-23,002297,"新能源飞机概念第一股博云新材
","
画个OO诅咒你
"
10-22,002297,"我有两只股,一只2297,一只300创业板。都是7月上旬买入,但目前境况迥异,
","
波段红牛
"
10-22,002297,"公开增发!!
","
漫天雪飞
"
10-22,002297,"只要有闲钱就买云,2年后最少到50了,目标价应该在100以上
","
买菜专用
"
10-21,002297,"又来了
","
旋风埃弗拉
"
10-21,002297,"博云概念独物值得暴炒
","
无可保留
"
10-21,002297,"主力都在出货了还来忽悠!
","
水心花香
"
10-21,002297,"今天早晨诱多,暴露主力意图
","
Andy_578
"
10-21,002297,"调整到底了,上升通道已经打开,准备上攻!
","
白天依白云
"
10-21,002297,"今天看跌高手可以T+O
","
提前暴露
"
10-21,002297,"博云新材股份拿股进交流实战平台〖三5O4五酒6〗
","
光明牌冰砖
"
10-20,002297,"重组别人只值三元?被人重组三四个板.
","
女售票员
"
10-20,002297,"明天博云涨停后
","
一脚油
"
10-20,002297,"002297炒股8年,终得一炒股神器!!!
","
三连冠2011
"
